title,price,Body Type,colours,Boot Space,Seating Capacity,No. of Doors,Ground Clearance,Engine Type,Displacement,Drive Train,Horse Power,Torque,Fuel System,Max Speed,Transmission Type,Front Brakes,Rear Brakes,Wheel Type,Tyre Size,Wheel Size,Mileage City,Fuel Tank Capacity,Mileage Highway,No. of Airbags,No. of Seatbelts,Number of Speakers,Handbrake,overall_rating,Style,Comfort,Fuel Economy,Performance,Value for Money,image_srcs,what we like,what we dont like,Rear Folding Seat,Child Lock,Heater,Keyless Entry,Defogger,Central Locking,Power Door Locks,Power Steering,Anti-Theft Alarm System,Bluetooth Connectivity,Air Conditioner (AC),Hill Start Assist Control,Anti-Lock Braking System (ABS),Auto Brake Hold,Power Windows,Power Mirrors,Auto Retractable Side Mirrors,Driver Seat Belt Warning,Steering Adjustment,Fog Lights,Traction Control,Vehicle Stability Control,Rear Fog Lamp,ISOFIX Child Seat Anchors,Adjustable Headlights,Side Mirrors with Indicators,DRLs,Android Auto,Apple Car Play,Climate Control,Navigation,Arm Rest,Cruise Control,Push Start,Rear Camera,Rear Parking Sensors,Automatic Head Lamps,Down Hill Assist Control,Brake Assist (BA),Paddle Shifter,Front Camera,Sun Roof,Rear Spoiler,Autonomous Emergency Braking (AEB),Auto Parking System,BlindSpot Detection (BSD),Moon Roof,Front Parking Sensors,Driver Seat Electric Adjustment,Lane Departure Warning System (LDWS),Lane Keep Assist System (LKAS),Heads Up Display (HUD),Heated Seats,Remote Engine Start,Tyre Pressure Monitoring System (TPMS),Dual Exhaust,Rear Seat Entertainment,360 Camera,Wireless Charger,Electric Motor Power,Battery type,Battery Capacity,Charging time,Range
Suzuki Ravi Euro II,PKR 18.56 lacs,Pick Up,"['Pearl Red', 'Silky Silver', 'Solid White']",-,2 persons,2 doors,-,Petrol,796 cc,FWD,37 HP @ 5000 RPM,62 Nm @ 3000 RPM,EFI,120 KM/H,Manual,Drum,Drum,Steel Rims,145/70/R12,12 in,12 KM/L,36 L,15 KM/L,0,2,-,Manual,2,2-rating,1-rating,3-rating,3-rating,3-rating,"['https://cache1.pakwheels.com/system/car_generation_pictures/3035/original/Suzuki_Ravi_2012.jpg?1444129314', 'https://cache3.pakwheels.com/system/car_generation_pictures/2580/original/2.jpg?1436162746', 'https://cache1.pakwheels.com/system/car_generation_pictures/3914/original/front_end.jpg?1451557965', 'https://cache3.pakwheels.com/system/car_generation_pictures/3915/original/rear_end.png?1451557966', 'https://cache4.pakwheels.com/system/car_generation_pictures/3916/original/side_view.jpg?1451557966', 'https://cache3.pakwheels.com/system/car_generation_pictures/3917/original/White-Front-Suzuki-Ravi-Efi-Euro-II-2015-Price-in-Pakistan-Latest-Model-Specs-Features-Mileage-Detail-Pics.png?1451557967', 'https://cache1.pakwheels.com/system/car_generation_pictures/3912/original/dashbopard.jpg?1451557964', 'https://cache4.pakwheels.com/system/car_generation_pictures/5180/original/Ravi4.jpg?1592894637']","['Affordable Maintenance', 'Relatively Cheap Compared to other Mini Pickup Trucks in its Category', 'Spare Parts are Highly Available', 'Good Loading Capacity']","['Low Safety', 'Poor Handling', 'High Price Compared to other Chinese Models', 'same Shape for Decades']",none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Bolan VX Euro II,PKR 19.40 lacs,"Mini Van, Van, Micro Van","['Pearl Red', 'Silky Silver', 'Solid White']",-,5 persons,5 doors,140 mm,Petrol,796 cc,RWD,37 HP @ 5000 RPM,62 Nm @ 3000 RPM,EFI,120 KM/H,Manual,Drum,Drum,Steel Rims,145/50/R12,12 in,12 KM/L,36 L,14 KM/L,0,2,2,Manual,2,2-rating,2-rating,3-rating,3-rating,3-rating,"['https://cache2.pakwheels.com/system/car_generation_pictures/6421/original/Suzuki-Bolan-Front.jpg?1651125085', 'https://cache4.pakwheels.com/system/car_generation_pictures/2975/original/Suzuki_Bolan_2012.jpg?1444116837', 'https://cache4.pakwheels.com/system/car_generation_pictures/6095/original/Suzuki_Bolan_Front.jpeg?1645793680', 'https://cache1.pakwheels.com/system/car_generation_pictures/2604/original/2.jpg?1438262454', 'https://cache2.pakwheels.com/system/car_generation_pictures/2605/original/3.jpg?1438262455', 'https://cache3.pakwheels.com/system/car_generation_pictures/3862/original/rear_end.jpg?1451547321', 'https://cache2.pakwheels.com/system/car_generation_pictures/3863/original/rear_view.png?1451547321', 'https://cache2.pakwheels.com/system/car_generation_pictures/3864/original/side_view...jpg?1451547322', 'https://cache3.pakwheels.com/system/car_generation_pictures/3865/original/side_view.jpg?1451547322', 'https://cache3.pakwheels.com/system/car_generation_pictures/3867/original/suzuki-bolan-2012-back-side-view.jpg?1451547324', 'https://cache2.pakwheels.com/system/car_generation_pictures/3868/original/suzuki-bolan-2012-front-side-view.jpg?1451547324', 'https://cache2.pakwheels.com/system/car_generation_pictures/3861/original/dashboard.JPG?1451547320', 'https://cache2.pakwheels.com/system/car_generation_pictures/3866/original/suzuki-bolan-2012-8096626.png?1451547323']","['Large seating capacity', 'Affordable Maintenance', 'Parts Availability', 'Strong Dealership Network', 'Now Available in AC variant']","['Unstable at High Speeds', 'Lacks Basic Equipment', 'Uncomfortable Ride', 'No Safety Features', 'Same Shape for Decades']",Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Bolan Cargo Van Euro ll,PKR 19.44 lacs,"Mini Van, Van, Micro Van","['Solid White', 'Pearl Red', 'Silky Silver']",-,5 persons,5 doors,140 mm,Petrol,796 cc,FWD,37 HP @ 5000 RPM,62 Nm @ 3000 RPM,EFI,120 KM/H,Manual,Drum,Drum,Steel Rims,145/50/R12,12 in,12 KM/L,36 L,13 KM/L,0,2,2,Manual,none,none,none,none,none,none,"['https://cache2.pakwheels.com/system/car_generation_pictures/6421/original/Suzuki-Bolan-Front.jpg?1651125085', 'https://cache4.pakwheels.com/system/car_generation_pictures/2975/original/Suzuki_Bolan_2012.jpg?1444116837', 'https://cache4.pakwheels.com/system/car_generation_pictures/6095/original/Suzuki_Bolan_Front.jpeg?1645793680', 'https://cache1.pakwheels.com/system/car_generation_pictures/2604/original/2.jpg?1438262454', 'https://cache2.pakwheels.com/system/car_generation_pictures/2605/original/3.jpg?1438262455', 'https://cache3.pakwheels.com/system/car_generation_pictures/3862/original/rear_end.jpg?1451547321', 'https://cache2.pakwheels.com/system/car_generation_pictures/3863/original/rear_view.png?1451547321', 'https://cache2.pakwheels.com/system/car_generation_pictures/3864/original/side_view...jpg?1451547322', 'https://cache3.pakwheels.com/system/car_generation_pictures/3865/original/side_view.jpg?1451547322', 'https://cache3.pakwheels.com/system/car_generation_pictures/3867/original/suzuki-bolan-2012-back-side-view.jpg?1451547324', 'https://cache2.pakwheels.com/system/car_generation_pictures/3868/original/suzuki-bolan-2012-front-side-view.jpg?1451547324', 'https://cache2.pakwheels.com/system/car_generation_pictures/3861/original/dashboard.JPG?1451547320', 'https://cache2.pakwheels.com/system/car_generation_pictures/3866/original/suzuki-bolan-2012-8096626.png?1451547323']","['Large seating capacity', 'Affordable Maintenance', 'Parts Availability', 'Strong Dealership Network', 'Now Available in AC variant']","['Unstable at High Speeds', 'Lacks Basic Equipment', 'Uncomfortable Ride', 'No Safety Features', 'Same Shape for Decades']",Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Alto VX,PKR 23.31 lacs,Hatchback,"['Cerulean Blue', 'Graphite Grey', 'Pearl Black', 'Silky Silver', 'Solid White']",125 L,4 persons,5 doors,170 mm,Petrol,658 cc,FWD,39 HP @ 6500 RPM,56 Nm @ 4000 RPM,MPI,140 KM/H,Manual,Solid Disc,Drum,Steel Wheels with Center Caps,145/80/R13,13 in,18 KM/L,27 L,22 KM/L,0,4,0,Manual,3,3-rating,3-rating,5-rating,4-rating,4-rating,"['https://cache2.pakwheels.com/system/car_version_specification_pictures/110/original/Front-Side.jpg?1678959966', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/109/original/Front.jpg?1678959965', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/111/original/Headlight.jpg?1678959966', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/113/original/Side-Profile.jpg?1678959967', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/114/original/Side-View-Mirror.jpg?1678959967', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/112/original/RIM.jpg?1678959967', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/106/original/5.jpg?1678959964', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/107/original/Boot.jpg?1678959965', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/108/original/Engine.jpg?1678959965', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/118/original/4.jpg?1678960085', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/122/original/White-Base-PS.jpg?1678960087', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/121/original/Speed-oMeter.jpg?1678960087', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/117/original/3.jpg?1678960085', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/116/original/2.jpg?1678960084', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/115/original/1.jpg?1678960083', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/119/original/Rear-Door-Panel.jpg?1678960086', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/120/original/Rear-Seats.jpg?1678960086']","['Extremely Economical', 'Parts are easily available', 'Strong Dealership Network', 'Quick Resale', 'Safety Features including ABS and Airbags']","['Feels underpowered especially on Highway', 'Build Quality is sub-standard compared to its JDM Counterpart', 'AC is not present in the VX Variant', 'Production Issues', 'Expensive Spare Parts']",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Alto VXR,PKR 27.07 lacs,Hatchback,"['Cerulean Blue', 'Graphite Grey', 'Pearl Black', 'Silky Silver', 'Solid White']",125 L,4 persons,5 doors,170 mm,Petrol,658 cc,FWD,39 HP @ 6500 RPM,56 Nm @ 4000 RPM,MPI,140 KM/H,Manual,Solid Disc,Drum,Steel Wheels with Center Caps,145/80/R13,13 in,18 KM/L,27 L,22 KM/L,2,4,2,Manual,3,3-rating,4-rating,4-rating,4-rating,4-rating,"['https://cache3.pakwheels.com/system/car_version_specification_pictures/93/original/Front-Side.jpg?1678959465', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/92/original/Front.jpg?1678959465', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/94/original/Headlight.jpg?1678959466', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/96/original/Side-Profile.jpg?1678959467', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/97/original/Side-View-Mirror.jpg?1678959467', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/95/original/RIM.jpg?1678959466', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/89/original/5.jpg?1678959464', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/90/original/Boot.jpg?1678959464', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/91/original/Engine.jpg?1678959465', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/101/original/4.jpg?1678959497', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/98/original/1.jpg?1678959496', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/99/original/2.jpg?1678959496', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/100/original/3.jpg?1678959497', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/104/original/Speed-oMeter.jpg?1678959499', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/105/original/White-Base-PS.jpg?1678959499', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/102/original/Rear-Door-Panel.jpg?1678959498', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/103/original/Rear-Seats.jpg?1678959498']","['Extremely Economical', 'Parts are easily available', 'Strong Dealership Network', 'Quick Resale', 'Safety Features including ABS and Airbags']","['Feels underpowered especially on Highway', 'Build Quality is sub-standard compared to its JDM Counterpart', 'AC is not present in the VX Variant', 'Production Issues', 'Expensive Spare Parts']",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Alto VXR AGS,PKR 28.94 lacs,Hatchback,"['Cerulean Blue', 'Graphite Grey', 'Pearl Black', 'Silky Silver', 'Solid White']",125 L,4 persons,5 doors,170 mm,Petrol,658 cc,FWD,39 HP @ 6500 RPM,56 Nm @ 4000 RPM,MPI,140 KM/H,Automatic (AGS),Solid Disc,Drum,Steel Wheels with Center Caps,145/80/R13,13 in,18 KM/L,27 L,22 KM/L,2,4,2,Manual,3,3-rating,3-rating,3-rating,3-rating,2-rating,"['https://cache4.pakwheels.com/system/car_version_specification_pictures/126/original/Front-Side.jpg?1678960529', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/127/original/Headlight.jpg?1678960529', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/125/original/Front.jpg?1678960528', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/129/original/Side-Profile.jpg?1678960530', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/128/original/RIM.jpg?1678960530', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/130/original/Side-View-Mirror.jpg?1678960531', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/123/original/5.jpg?1678960527', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/124/original/Boot.jpg?1678960528', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/132/original/6.jpg?1678960580', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/131/original/3.jpg?1678960580', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/135/original/Speed-oMeter.jpg?1678960582', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/133/original/Rear-Door-Panel.jpg?1678960581', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/134/original/Rear-Seats.jpg?1678960581']","['Extremely Economical', 'Parts are easily available', 'Strong Dealership Network', 'Quick Resale', 'Safety Features including ABS and Airbags']","['Feels underpowered especially on Highway', 'Build Quality is sub-standard compared to its JDM Counterpart', 'AC is not present in the VX Variant', 'Production Issues', 'Expensive Spare Parts']",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Alto VXL AGS,PKR 30.45 lacs,Hatchback,"['Cerulean Blue', 'Graphite Grey', 'Pearl Black', 'Solid White', 'Silky Silver']",125 L,4 persons,5 doors,170 mm,Petrol,658 cc,FWD,39 HP @ 6500 RPM,56 Nm @ 4000 RPM,MPI,140 KM/H,Automatic (AGS),Solid Disc,Drum,Steel Wheels with Full Wheel Caps,145/80/R13,13 in,18 KM/L,27 L,22 KM/L,2,4,2,Manual,4,4-rating,4-rating,5-rating,4-rating,4-rating,"['https://cache1.pakwheels.com/system/car_version_specification_pictures/74/original/Front-Side.jpg?1678958262', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/75/original/Headlight.jpg?1678958262', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/79/original/Side-Profile.jpg?1678958263', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/78/original/Side-Mirror.jpg?1678958263', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/77/original/RIM.jpg?1678958263', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/76/original/Rear-Profile.jpg?1678958262', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/72/original/Boot.jpg?1678958261', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/73/original/Engine.jpg?1678958261', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/80/original/tag.jpg?1678958264', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/84/original/Front-Searing.jpg?1678958297', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/82/original/Cockpit.jpg?1678958296', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/81/original/AC-Controls-and-AGS.jpg?1678958296', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/85/original/Infotainment-Display.jpg?1678958298', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/87/original/Speed-o-Meter.jpg?1678958299', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/88/original/Window-Controls.jpg?1678958299', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/83/original/Cup-Holders.jpg?1678958297', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/86/original/Rear-Seats.jpg?1678958298']","['Extremely Economical', 'Parts are easily available', 'Strong Dealership Network', 'Quick Resale', 'Safety Features including ABS and Airbags']","['Feels underpowered especially on Highway', 'Build Quality is sub-standard compared to its JDM Counterpart', 'AC is not present in the VX Variant', 'Production Issues', 'Expensive Spare Parts']",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Wagon R VXR,PKR 32.14 lacs,Hatchback,"['Graphite Grey', 'Pearl Black', 'Pearl Red', 'Sand Beige', 'Silky Silver', 'Solid White']",180 L,5 persons,5 doors,170 mm,Petrol,998 cc,FWD,67 HP @ 6200 RPM,90 Nm @ 3500 RPM,Fuel Injection,180 KM/H,Manual,Ventilated Disc,Drum,Steel Rims with Wheels Caps,145/80/R13,13 in,16 KM/L,35 L,18 KM/L,0,4,2,Manual,4,4-rating,4-rating,5-rating,5-rating,4-rating,"['https://cache4.pakwheels.com/system/car_generation_pictures/7314/original/Wagon-R.jpg?1677147187', 'https://cache3.pakwheels.com/system/car_generation_pictures/7307/original/Front.jpg?1677136694', 'https://cache3.pakwheels.com/system/car_generation_pictures/7308/original/Front-Side.jpg?1677136695', 'https://cache4.pakwheels.com/system/car_generation_pictures/6556/original/SideProfile.jpg?1659442412', 'https://cache2.pakwheels.com/system/car_generation_pictures/7309/original/Rear.jpg?1677136695', 'https://cache3.pakwheels.com/system/car_generation_pictures/6552/original/Headlight.jpg?1659442410', 'https://cache4.pakwheels.com/system/car_generation_pictures/6553/original/RearLight.jpg?1659442410', 'https://cache2.pakwheels.com/system/car_generation_pictures/6554/original/SideMirror.jpg?1659442411', 'https://cache4.pakwheels.com/system/car_generation_pictures/6555/original/Rim.jpg?1659442411', 'https://cache3.pakwheels.com/system/car_generation_pictures/6557/original/Cockpit.jpg?1659442412', 'https://cache3.pakwheels.com/system/car_generation_pictures/6558/original/WindowControls.jpg?1659442413', 'https://cache4.pakwheels.com/system/car_generation_pictures/6559/original/AC.jpg?1659442414', 'https://cache3.pakwheels.com/system/car_generation_pictures/6560/original/Cluster.jpg?1659442414']","['Better Build Quality than other Suzuki Models', 'Highly Economical', 'Parts are Easily available', 'Strong Dealership Network', 'Effective Air Conditioning Capabilities']","['Boxy Exterior Looks', 'Unstable on High Speeds', 'Outdated Shape', 'Tall Body']",Yes,Yes,Yes,none,Yes,none,none,Yes,none,Yes,Yes,none,none,none,none,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Wagon R VXL,PKR 34.12 lacs,Hatchback,"['Graphite Grey', 'Pearl Black', 'Pearl Red', 'Sand Beige', 'Silky Silver', 'Solid White']",180 L,5 persons,5 doors,170 mm,Petrol,998 cc,FWD,67 HP @ 6200 RPM,90 Nm @ 3500 RPM,Fuel Injection,180 KM/H,Manual,Ventilated Disc,Drum,Alloy Wheels,145/80/R13,13 in,16 KM/L,35 L,18 KM/L,0,4,2,Manual,3,3-rating,4-rating,4-rating,4-rating,4-rating,"['https://cache4.pakwheels.com/system/car_version_specification_pictures/548/original/1.jpg?1679312922', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/549/original/2.jpg?1679312922', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/550/original/4.jpg?1679312922', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/554/original/Front-Side.jpg?1679312924', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/553/original/7.jpg?1679312923', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/552/original/6.jpg?1679312923', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/551/original/5.jpg?1679312923', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/555/original/8.jpg?1679312936', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/558/original/11.jpg?1679312938', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/556/original/9.jpg?1679312937', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/557/original/10.jpg?1679312937']","['Better Build Quality than other Suzuki Models', 'Highly Economical', 'Parts are Easily available', 'Strong Dealership Network', 'Effective Air Conditioning Capabilities']","['Boxy Exterior Looks', 'Unstable on High Speeds', 'Outdated Shape', 'Tall Body']",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Suzuki Wagon R AGS,PKR 37.41 lacs,Hatchback,"['Graphite Grey', 'Pearl Black', 'Pearl Red', 'Phoenix Red', 'Sand Beige', 'Silky Silver', 'Solid White']",180 L,5 persons,5 doors,170 mm,Petrol,998 cc,FWD,67 HP @ 6200 RPM,90 Nm @ 3500 RPM,Fuel Injection,180 KM/H,Automatic (AGS),Ventilated Disc,Drum,Alloy Wheels,145/80/R13,13 in,16 KM/L,35 L,17 KM/L,1,4,2,Manual,3,3-rating,3-rating,3-rating,3-rating,2-rating,"['https://cache4.pakwheels.com/system/car_generation_pictures/7314/original/Wagon-R.jpg?1677147187', 'https://cache3.pakwheels.com/system/car_generation_pictures/7307/original/Front.jpg?1677136694', 'https://cache3.pakwheels.com/system/car_generation_pictures/7308/original/Front-Side.jpg?1677136695', 'https://cache4.pakwheels.com/system/car_generation_pictures/6556/original/SideProfile.jpg?1659442412', 'https://cache2.pakwheels.com/system/car_generation_pictures/7309/original/Rear.jpg?1677136695', 'https://cache3.pakwheels.com/system/car_generation_pictures/6552/original/Headlight.jpg?1659442410', 'https://cache4.pakwheels.com/system/car_generation_pictures/6553/original/RearLight.jpg?1659442410', 'https://cache2.pakwheels.com/system/car_generation_pictures/6554/original/SideMirror.jpg?1659442411', 'https://cache4.pakwheels.com/system/car_generation_pictures/6555/original/Rim.jpg?1659442411', 'https://cache3.pakwheels.com/system/car_generation_pictures/6557/original/Cockpit.jpg?1659442412', 'https://cache3.pakwheels.com/system/car_generation_pictures/6558/original/WindowControls.jpg?1659442413', 'https://cache4.pakwheels.com/system/car_generation_pictures/6559/original/AC.jpg?1659442414', 'https://cache3.pakwheels.com/system/car_generation_pictures/6560/original/Cluster.jpg?1659442414']","['Better Build Quality than other Suzuki Models', 'Highly Economical', 'Parts are Easily available', 'Strong Dealership Network', 'Effective Air Conditioning Capabilities']","['Boxy Exterior Looks', 'Unstable on High Speeds', 'Outdated Shape', 'Tall Body']",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,none,Yes,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
